vin_1_10,state,city,county,ev_type,make,model,Sum of model_year
1G1RD6E43E,WA,Bellevue,King,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,VOLT,2014
1G1RD6E49D,WA,Washougal,Clark,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,VOLT,2013
1G1RD6S53H,WA,Chewelah,Stevens,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,VOLT,2017
1G1RE6E4XE,WA,Lynnwood,Snohomish,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,VOLT,2014
1GYKPMRLXR,WA,Kalama,Cowlitz,Battery Electric Vehicle (BEV),CADILLAC,LYRIQ,2024
1N4AZ0CP0E,WA,Sammamish,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2014
1N4AZ0CP0F,WA,Seattle,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2015
1N4AZ0CP0G,WA,Kenmore,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2016
1N4AZ0CP1D,WA,Edmonds,Snohomish,Battery Electric Vehicle (BEV),NISSAN,LEAF,2013
1N4AZ0CP1F,WA,Vancouver,Clark,Battery Electric Vehicle (BEV),NISSAN,LEAF,2015
1N4AZ0CP2D,WA,Vancouver,Clark,Battery Electric Vehicle (BEV),NISSAN,LEAF,2013
1N4AZ0CP2E,WA,Seattle,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2014
1N4AZ0CP2F,WA,Seattle,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2015
1N4AZ0CP2G,WA,Bellevue,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2016
1N4AZ0CP3D,WA,Seattle,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2013
1N4AZ0CP3F,WA,Seattle,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2015
1N4AZ0CP4D,WA,Toppenish,Yakima,Battery Electric Vehicle (BEV),NISSAN,LEAF,2013
1N4AZ0CP4E,WA,Tumwater,Thurston,Battery Electric Vehicle (BEV),NISSAN,LEAF,2014
1N4AZ0CP4F,WA,Bothell,Snohomish,Battery Electric Vehicle (BEV),NISSAN,LEAF,2015
